,0,id
 ,1490626,1
：,472271,2
0,466550,3
“,432047,4
”,431934,5
国,405860,6
1,365470,7
人,325527,8
中,318622,9
大,294110,10
2,291929,11
年,245606,12
一,228844,13
不,203359,14
5,197197,15
3,195757,16
新,194489,17
车,185540,18
被,184602,19
发,176585,20
上,172318,21
成,168130,22
图,167769,23
家,166696,24
行,162066,25
万,159963,26
(,158321,27
),157807,28
4,157550,29
子,156479,30
生,153732,31
将,151778,32
业,147676,33
高,146715,34
出,145856,35
市,145699,36
元,144296,37
美,138006,38
会,133959,39
公,133704,40
开,133096,41
6,132703,42
机,129614,43
日,128922,44
的,124196,45
地,123734,46
北,123058,47
8,121587,48
全,120490,49
现,118553,50
京,117683,51
女,116050,52
民,115355,53
海,114296,54
在,114291,55
有,113370,56
长,112802,57
7,112557,58
金,110214,59
为,110106,60
9,109568,61
动,105430,62
"""",105172,63
学,104028,64
部,101831,65
网,101128,66
小,98759,67
多,98087,68
三,97943,69
南,97545,70
方,96112,71
首,94036,72
最,93521,73
重,93376,74
法,93240,75
台,92688,76
场,92515,77
.,91684,78
男,90859,79
价,88913,80
安,85786,81
工,85511,82
西,84826,83
手,84584,84
名,83926,85
产,83341,86
能,83139,87
电,83073,88
东,82942,89
后,82535,90
州,81425,91
资,81347,92
天,80849,93
月,80471,94
力,79628,95
称,79379,96
是,78387,97
建,78326,98
两,78111,99
战,77567,100
主,76971,101
外,76953,102
作,76790,103
入,76383,104
员,76340,105
进,76156,106
自,75980,107
合,75779,108
房,75706,109
对,75102,110
军,74911,111
加,74490,112
时,74269,113
下,74156,114
用,73838,115
保,73834,116
广,73804,117
政,73431,118
与,72786,119
内,72324,120
分,72068,121
事,71988,122
化,71607,123
区,70660,124
警,70291,125
本,70262,126
个,69973,127
利,69940,128
交,69913,129
华,69559,130
报,69444,131
老,68717,132
联,68470,133
商,67951,134
案,67260,135
亿,66145,136
度,66090,137
打,65531,138
体,65383,139
展,64802,140
赛,64624,141
回,64345,142
球,64098,143
文,63768,144
理,63096,145
马,63051,146
来,63025,147
水,62657,148
获,62379,149
点,61607,150
要,61328,151
明,61258,152
品,61034,153
通,61010,154
起,60831,155
平,60558,156
前,60439,157
股,60377,158
受,60265,159
制,59625,160
》,59135,161
《,59130,162
查,58880,163
增,58733,164
？,58694,165
无,58497,166
信,58453,167
调,58319,168
经,57526,169
强,57361,170
者,57327,171
实,57282,172
超,57184,173
山,56663,174
关,55844,175
可,55841,176
路,55663,177
或,55180,178
应,55068,179
收,54952,180
江,54686,181
亚,54636,182
期,54444,183
心,54297,184
改,54225,185
:,54157,186
门,53726,187
布,53618,188
务,53427,189
局,53332,190
评,53328,191
游,52851,192
城,52420,193
定,52375,194
专,52138,195
港,52018,196
企,51959,197
四,51471,198
总,50928,199
遭,50883,200
客,50850,201
次,50464,202
